item_id,p_class_0,p_class_1,credit,agent_id
cnn_1_sent0_CNN,0.001164353671581495,0.9988356463284185,0.9988356463284185,CNN
cnn_1_sent1_CNN,3.7449766046669e-05,0.9999625502339534,0.9999625502339534,CNN
cnn_1_sent2_CNN,3.7449766046669e-05,0.9999625502339534,0.9999625502339534,CNN
cnn_2_sent0_CNN,0.0015834827581412954,0.9984165172418588,0.9984165172418588,CNN
cnn_2_sent1_CNN,0.0015834827581412954,0.9984165172418588,0.9984165172418588,CNN
cnn_2_sent2_CNN,0.0015834827581412954,0.9984165172418588,0.9984165172418588,CNN
cnn_3_sent0_CNN,0.0033162459368241606,0.9966837540631759,0.9966837540631759,CNN
cnn_3_sent1_CNN,0.9662369217583101,0.03376307824168994,0.03376307824168994,CNN
cnn_3_sent2_CNN,0.0033162459368241606,0.9966837540631759,0.9966837540631759,CNN
cnn_4_sent0_CNN,4.185664018867685e-06,0.9999958143359812,0.9999958143359812,CNN
cnn_4_sent1_CNN,4.185664018867685e-06,0.9999958143359812,0.9999958143359812,CNN
cnn_4_sent2_CNN,0.9999981853857965,1.8146142033532402e-06,1.8146142033532402e-06,CNN
cnn_5_sent0_CNN,4.0048561414871e-05,0.9999599514385852,0.9999599514385852,CNN
cnn_5_sent1_CNN,0.9871055894570991,0.012894410542900801,0.012894410542900801,CNN
cnn_5_sent2_CNN,0.03595156171499981,0.9640484382850002,0.9640484382850002,CNN
cnn_6_sent0_CNN,0.002176802101415334,0.9978231978985846,0.9978231978985846,CNN
cnn_6_sent1_CNN,0.002176802101415334,0.9978231978985846,0.9978231978985846,CNN
cnn_6_sent2_CNN,0.002176802101415334,0.9978231978985846,0.9978231978985846,CNN
cnn_7_sent0_CNN,0.010803872736808431,0.9891961272631916,0.9891961272631916,CNN
cnn_7_sent1_CNN,0.0003649635066469569,0.9996350364933531,0.9996350364933531,CNN
cnn_7_sent2_CNN,0.0003649635066469569,0.9996350364933531,0.9996350364933531,CNN
cnn_8_sent0_CNN,0.0005905928462209735,0.9994094071537791,0.9994094071537791,CNN
cnn_8_sent1_CNN,0.5481402075864364,0.4518597924135636,0.4518597924135636,CNN
cnn_8_sent2_CNN,0.5481402075864364,0.4518597924135636,0.4518597924135636,CNN
cnn_9_sent0_CNN,0.004015830529580752,0.9959841694704192,0.9959841694704192,CNN
cnn_9_sent1_CNN,0.00012952129466393532,0.9998704787053362,0.9998704787053362,CNN
cnn_9_sent2_CNN,0.004015830529580752,0.9959841694704192,0.9959841694704192,CNN
cnn_10_sent0_CNN,2.778101224524615e-08,0.9999999722189877,0.9999999722189877,CNN
cnn_10_sent1_CNN,2.778101224524615e-08,0.9999999722189877,0.9999999722189877,CNN
cnn_10_sent2_CNN,2.778101224524615e-08,0.9999999722189877,0.9999999722189877,CNN
cnn_11_sent0_CNN,0.0005113276246545154,0.9994886723753454,0.9994886723753454,CNN
cnn_11_sent1_CNN,0.9841028804414339,0.01589711955856605,0.01589711955856605,CNN
cnn_11_sent2_CNN,0.006678032991985142,0.9933219670080149,0.9933219670080149,CNN
cnn_12_sent0_CNN,6.486771334994003e-07,0.9999993513228664,0.9999993513228664,CNN
