item_id,p_class_0,p_class_1,p_class_2,credit,agent_id
convabuse_245846.0_E.L.I.Z.A.,0.9949361126253883,0.005063369606118364,5.177684934523016e-07,0.002532202571552634,E.L.I.Z.A.
convabuse_159183.0_E.L.I.Z.A.,4.646553282946814e-05,0.817386738129565,0.18256679633760559,0.5912601654023881,E.L.I.Z.A.
convabuse_340147.0_E.L.I.Z.A.,0.997161100158224,0.002838899807512875,3.4262886788427174e-11,0.0014194499380193243,E.L.I.Z.A.
convabuse_95cbaab0f8cb4cb59a3393e7fc61cafe_CarbonBot,0.9999169944284181,8.300557158138525e-05,3.9505180144970127e-16,4.150278579108767e-05,CarbonBot
convabuse_270732.0_E.L.I.Z.A.,0.9572285756123949,0.04275401927518969,1.7405112415540252e-05,0.021394414750010384,E.L.I.Z.A.
convabuse_85079.0_E.L.I.Z.A.,0.9572285756123949,0.04275401927518969,1.7405112415540252e-05,0.021394414750010384,E.L.I.Z.A.
convabuse_310174.0_E.L.I.Z.A.,0.9677219079359124,0.032260805295312,1.728676877568572e-05,0.016147689416431688,E.L.I.Z.A.
convabuse_252274.0_E.L.I.Z.A.,9.88459060285677e-08,0.0031899210379257425,0.9968099801161682,0.9984049406351311,E.L.I.Z.A.
convabuse_206012.0_E.L.I.Z.A.,0.9677219079359124,0.032260805295312,1.728676877568572e-05,0.016147689416431688,E.L.I.Z.A.
convabuse_172430.0_E.L.I.Z.A.,0.9677219079359124,0.032260805295312,1.728676877568572e-05,0.016147689416431688,E.L.I.Z.A.
convabuse_133140.0_E.L.I.Z.A.,0.965167762418174,0.03483213920023076,9.838159513972419e-08,0.01741616798171052,E.L.I.Z.A.
convabuse_272896.0_E.L.I.Z.A.,0.9901893865411153,0.009806712520671723,3.900938212846427e-06,0.004907257198548708,E.L.I.Z.A.
convabuse_397351.0_E.L.I.Z.A.,0.7602915352612357,0.23970845635581875,8.382945450173587e-09,0.11985423656085482,E.L.I.Z.A.
convabuse_146569.0_E.L.I.Z.A.,0.9457855621115249,0.05419164135007053,2.2796538404521684e-05,0.027118617213439784,E.L.I.Z.A.
convabuse_107154.0_E.L.I.Z.A.,0.9572285756123949,0.04275401927518969,1.7405112415540252e-05,0.021394414750010384,E.L.I.Z.A.
convabuse_293123.0_E.L.I.Z.A.,0.9457855621115249,0.05419164135007053,2.2796538404521684e-05,0.027118617213439784,E.L.I.Z.A.
convabuse_213776.0_E.L.I.Z.A.,0.9972129361017085,0.002787063880724718,1.7566798984300397e-11,0.001393531957929158,E.L.I.Z.A.
convabuse_353411.0_E.L.I.Z.A.,0.975983824135006,0.024016169555171836,6.309822109335589e-09,0.012008091087408027,E.L.I.Z.A.
convabuse_2929255770426965_CarbonBot,0.9998338693599339,0.0001661306400537564,1.2365347355523727e-14,8.306532003924355e-05,CarbonBot
convabuse_392999.0_E.L.I.Z.A.,0.9923360481872607,0.007661002678611327,2.9491341278542163e-06,0.0038334504734335176,E.L.I.Z.A.
convabuse_77677.0_E.L.I.Z.A.,0.0006445013415819468,0.22732421007191453,0.7720312885865035,0.8856933936224608,E.L.I.Z.A.
convabuse_128206.0_E.L.I.Z.A.,0.9572285756123949,0.04275401927518969,1.7405112415540252e-05,0.021394414750010384,E.L.I.Z.A.
convabuse_273875.0_E.L.I.Z.A.,0.9530580775835377,0.0469417295386633,1.9287779906438994e-07,0.023471057647130717,E.L.I.Z.A.
convabuse_365342.0_E.L.I.Z.A.,0.9866560445996408,0.013336238046603993,7.717353755283507e-06,0.0066758363770572805,E.L.I.Z.A.
convabuse_473406.0_E.L.I.Z.A.,0.9923360481872607,0.007661002678611327,2.9491341278542163e-06,0.0038334504734335176,E.L.I.Z.A.
convabuse_466324.0_E.L.I.Z.A.,0.6664119301161042,0.33358633238546387,1.7374984318953568e-06,0.16679490369116384,E.L.I.Z.A.
convabuse_187142.0_E.L.I.Z.A.,0.9683020426078071,0.03168908950412234,8.86788807074259e-06,0.01585341264013191,E.L.I.Z.A.
convabuse_2548503415278014_CarbonBot,0.9961577373454652,0.003842168079722142,9.457481272697752e-08,0.001921178614673798,CarbonBot
convabuse_247858.0_E.L.I.Z.A.,0.9530580775835377,0.0469417295386633,1.9287779906438994e-07,0.023471057647130717,E.L.I.Z.A.
convabuse_363108.0_E.L.I.Z.A.,0.05481571850063127,0.9399650535697167,0.005219227929652084,0.4752017547145104,E.L.I.Z.A.
convabuse_423219.0_E.L.I.Z.A.,0.00018389999397518122,0.9996978332146976,0.00011826679132721547,0.499967183398676,E.L.I.Z.A.
convabuse_300085.0_E.L.I.Z.A.,0.9683020426078071,0.03168908950412234,8.86788807074259e-06,0.01585341264013191,E.L.I.Z.A.
convabuse_288522.0_E.L.I.Z.A.,1.6068315248427304e-09,0.005794134206533002,0.9942058641866356,0.9971029312899021,E.L.I.Z.A.
convabuse_237965.0_E.L.I.Z.A.,1.1152761721931701e-09,0.0032803607148677995,0.9967196381698561,0.9983598185272899,E.L.I.Z.A.
convabuse_117194.0_E.L.I.Z.A.,0.9989127494263721,0.0010872505732038153,4.2406151164998016e-13,0.0005436252870259691,E.L.I.Z.A.
convabuse_11958.0_E.L.I.Z.A.,0.7602915352612357,0.23970845635581875,8.382945450173587e-09,0.11985423656085482,E.L.I.Z.A.
convabuse_34136.0_E.L.I.Z.A.,0.9448101065083065,0.05514547389093304,4.441960076048131e-05,0.027617156546227,E.L.I.Z.A.
