item_id,ambiguity,predicted_class,confidence
convabuse_298297.0_E.L.I.Z.A.,0.5638966450865692,1,0.43610335491343083
convabuse_193305.0_E.L.I.Z.A.,0.49655213517808905,1,0.503447864821911
convabuse_104335.0_E.L.I.Z.A.,0.4906257674549588,1,0.5093742325450412
convabuse_261585.0_E.L.I.Z.A.,0.4876287173808268,1,0.5123712826191732
convabuse_321553.0_E.L.I.Z.A.,0.48642989178447116,2,0.5135701082155288
convabuse_301675.0_E.L.I.Z.A.,0.4828399641305815,1,0.5171600358694185
convabuse_244402.0_E.L.I.Z.A.,0.4709225881918404,1,0.5290774118081596
convabuse_444222.0_E.L.I.Z.A.,0.4689673639337545,1,0.5310326360662455
convabuse_92200.0_E.L.I.Z.A.,0.46753198971629495,1,0.532468010283705
convabuse_24975.0_E.L.I.Z.A.,0.461825660123403,1,0.538174339876597
convabuse_206134.0_E.L.I.Z.A.,0.4609542732195281,1,0.5390457267804719
convabuse_121357.0_E.L.I.Z.A.,0.4597064610814393,2,0.5402935389185607
convabuse_150361.0_E.L.I.Z.A.,0.4580193519742448,1,0.5419806480257552
convabuse_124089.0_E.L.I.Z.A.,0.45736401928713,2,0.54263598071287
convabuse_502289.0_E.L.I.Z.A.,0.45736401928713,2,0.54263598071287
convabuse_396773.0_E.L.I.Z.A.,0.45061058857995184,1,0.5493894114200482
convabuse_465022.0_E.L.I.Z.A.,0.4495119038419658,2,0.5504880961580342
convabuse_260589.0_E.L.I.Z.A.,0.4431424168538982,1,0.5568575831461018
convabuse_277893.0_E.L.I.Z.A.,0.44102697965556525,1,0.5589730203444347
convabuse_66470.0_E.L.I.Z.A.,0.43978757540803126,2,0.5602124245919687
convabuse_180978.0_E.L.I.Z.A.,0.43978757540803104,2,0.560212424591969
convabuse_543712.0_E.L.I.Z.A.,0.43978757540803104,2,0.560212424591969
convabuse_414438.0_E.L.I.Z.A.,0.43978757540803104,2,0.560212424591969
convabuse_461629.0_E.L.I.Z.A.,0.43795222750997675,2,0.5620477724900232
