annotator_id,accuracy,leniency,strictness
expert_3,0.821454901538897,0.2960611754356812,0.35589386061725775
expert_53,0.8056424022953571,0.28081290551383525,0.35671648758385105
expert_55,0.7779482042271875,0.27575159749113415,0.38771564364206723
expert_46,0.7709353424256461,0.23897000099754728,0.3522031429063217
expert_26,0.7543402591209113,0.33634927509305523,0.3365485579677139
author_2,0.7532293599452863,0.28569300236416206,0.30823511341366167
expert_2,0.7482138581613041,0.2746410741815355,0.35523267168995143
expert_27,0.7456140500376397,0.31141823818081577,0.38625908873443865
expert_40,0.7423471687405426,0.31582237815619324,0.36557560529470945
expert_9,0.7422260251191841,0.2162901263561294,0.3539830544122411
expert_21,0.7304864288886503,0.31120638453916705,0.3473559316865242
author_3,0.7304684001789417,0.2875662422196574,0.32144227447003837
expert_39,0.7273392091727252,0.34424270139324026,0.40679284285024336
expert_29,0.7206667802829615,0.3172238810418935,0.42421988072100497
expert_38,0.7192345873766374,0.29205529952698406,0.34691213640230606
expert_5,0.7173803733635992,0.2525573081887951,0.3513157489705558
expert_24,0.7138176380925115,0.19495967281967344,0.38870643095139634
expert_17,0.7091687873212672,0.29289776927043804,0.42666357867173627
expert_10,0.7070340352425624,0.3301543068961606,0.36745540850749614
expert_19,0.702561895529007,0.23597898631881223,0.4025264620891484
expert_44,0.7007827196282536,0.38302961182193096,0.48847925156153454
expert_36,0.6908598740703792,0.2954201058234474,0.46149509151358004
author_6,0.6885891352461816,0.17391141657998424,0.22658240794063375
expert_31,0.6835454423178846,0.2290288800690594,0.3883687285074841
expert_52,0.6829142078492922,0.2928042239130869,0.14151292411254615
expert_41,0.6667975987147621,0.3896914892950312,0.4292092126769549
expert_30,0.663823437097561,0.4568571984838529,0.5406169302484893
expert_25,0.6622828531114111,0.29248178662619934,0.43746953216092077
author_0,0.6617549533993442,0.252408480068912,0.39952795311753264
author_4,0.6544640255108799,0.24561881199825597,0.4226251471373832
expert_14,0.6462721254157213,0.3366792001049994,0.5393823191314341
expert_32,0.6304157028817553,0.40968300826904386,0.3813972121665042
expert_13,0.6302448438144993,0.2698848961689549,0.3615410401707921
expert_49,0.6258988021626436,0.3067400164900041,0.3769803230366022
author_1,0.6223557442984865,0.3069423270494653,0.5113196300760121
expert_22,0.6139974948651596,0.4629905496406382,0.3303999329300657
expert_47,0.6134971211023421,0.330133432344136,0.3473894772400527
expert_20,0.6118874178088248,0.3771467275971075,0.509312111274704
expert_45,0.6098990567497082,0.2745695122918313,0.3439381425417203
expert_43,0.6089544041412412,0.4099723786103026,0.4216826713227297
expert_37,0.6061028673892722,0.3979382083360741,0.41309170246405785
expert_16,0.6053543255445533,0.3753438866870639,0.4802768109671908
expert_4,0.6011149760770309,0.5078585546705651,0.47494684762733197
expert_34,0.5959303255613161,0.3363307759062895,0.3619661608235634
expert_6,0.5873150636419323,0.35201929843022833,0.4718357396271005
expert_42,0.5769899675241654,0.394128812319997,0.5132239716107975
expert_48,0.5761374676377137,0.3525599782900731,0.3123661359949376
expert_12,0.5732749716605615,0.28707678923057395,0.4052254373887616
expert_0,0.5658068874178651,0.3615545881099889,0.44357793514211724
expert_7,0.5651727499081286,0.3410384842850888,0.5631713826804248
expert_1,0.5626712000770531,0.29700815941190556,0.45963535936589556
expert_57,0.5509105383288088,0.3490872208146539,0.5325523635359992
expert_15,0.548062062433908,0.35631637163145763,0.5513685166778851
expert_11,0.5454197911702725,0.27163643051664144,0.5725208928841345
expert_50,0.5305454923402418,0.4206693959835836,0.5184731792106866
expert_28,0.523551228472588,0.3690813892890172,0.6153405842037133
expert_18,0.5224549392812561,0.30430127456693246,0.2618001919290223
expert_23,0.520206513984381,0.3537946149466468,0.48071070078906836
author_5,0.5164989416236008,0.446039851590635,0.32975674560631696
expert_35,0.5106967076317369,0.2411015315253302,0.24805412169913546
expert_54,0.5011943195345824,0.35870652364197997,0.286324912784728
expert_51,0.484501143736086,0.4220723680958545,0.5200893281465865
expert_8,0.43954089242525046,0.38705957547195985,0.5198306062194
expert_33,0.43074776864479025,0.389302985196365,0.35117647158320286
expert_56,0.4055664558547063,0.38329257953727286,0.5108984928533731
