item_id,ambiguity,predicted_class,confidence
mtbench_87_turn2_claude-v1,0.5970302774237815,1,0.4029697225762186
mtbench_125_turn1_claude-v1,0.5646536424920438,2,0.43534635750795625
mtbench_101_turn2_alpaca-13b,0.5511371094396633,2,0.44886289056033674
mtbench_86_turn1_llama-13b,0.5502172357452485,1,0.4497827642547515
mtbench_95_turn1_alpaca-13b,0.5430956319275231,1,0.456904368072477
mtbench_90_turn1_claude-v1,0.5389652360329026,1,0.4610347639670974
mtbench_117_turn1_claude-v1,0.5134925529042795,2,0.4865074470957205
mtbench_86_turn1_claude-v1,0.5049907985095623,1,0.49500920149043776
mtbench_130_turn2_alpaca-13b,0.49888915316284344,1,0.5011108468371566
mtbench_139_turn1_alpaca-13b,0.49701890429826134,0,0.5029810957017387
mtbench_158_turn1_gpt-3.5-turbo,0.49442142043982285,2,0.5055785795601772
mtbench_86_turn1_vicuna-13b-v1.2,0.49278963095194805,1,0.507210369048052
mtbench_150_turn1_alpaca-13b,0.48986943211788425,2,0.5101305678821157
mtbench_107_turn1_claude-v1,0.4893015732066367,1,0.5106984267933633
mtbench_107_turn1_llama-13b,0.4886872370234958,2,0.5113127629765042
mtbench_126_turn1_alpaca-13b,0.48842965152968265,0,0.5115703484703173
mtbench_126_turn2_alpaca-13b,0.48842965152968265,0,0.5115703484703173
mtbench_131_turn1_llama-13b,0.4828330410119088,0,0.5171669589880912
mtbench_131_turn2_vicuna-13b-v1.2,0.48262939452109355,0,0.5173706054789065
mtbench_157_turn1_gpt-4,0.4813185201682244,1,0.5186814798317756
mtbench_135_turn1_claude-v1,0.47000002937224694,2,0.5299999706277531
mtbench_144_turn2_llama-13b,0.46677692433928686,2,0.5332230756607131
mtbench_83_turn2_alpaca-13b,0.4561918794274883,1,0.5438081205725117
mtbench_132_turn1_vicuna-13b-v1.2,0.4518838416964659,1,0.5481161583035341
mtbench_88_turn1_gpt-4,0.4489951024474762,2,0.5510048975525238
mtbench_82_turn1_llama-13b,0.4475207282954783,2,0.5524792717045217
mtbench_126_turn1_claude-v1,0.4454274956553633,1,0.5545725043446367
mtbench_122_turn2_llama-13b,0.4447793876786964,0,0.5552206123213036
mtbench_153_turn2_claude-v1,0.4343129174998942,2,0.5656870825001058
mtbench_121_turn1_vicuna-13b-v1.2,0.4313362654859433,2,0.5686637345140567
mtbench_87_turn2_alpaca-13b,0.42948353548352514,2,0.5705164645164749
mtbench_87_turn1_alpaca-13b,0.42948353548352514,2,0.5705164645164749
mtbench_151_turn1_claude-v1,0.4291026563249599,2,0.5708973436750401
mtbench_83_turn2_gpt-3.5-turbo,0.4265651666832899,1,0.5734348333167101
mtbench_97_turn1_claude-v1,0.4259937642164793,2,0.5740062357835207
mtbench_145_turn1_llama-13b,0.42489988760077724,0,0.5751001123992228
mtbench_102_turn1_llama-13b,0.42382353111590254,1,0.5761764688840975
mtbench_130_turn2_gpt-4,0.42146016047522494,1,0.5785398395247751
mtbench_114_turn1_vicuna-13b-v1.2,0.416711156787277,2,0.583288843212723
mtbench_129_turn2_alpaca-13b,0.4158192567471335,1,0.5841807432528665
mtbench_117_turn1_llama-13b,0.41091770724480303,0,0.589082292755197
mtbench_160_turn2_vicuna-13b-v1.2,0.40922276631806176,1,0.5907772336819382
mtbench_82_turn1_gpt-4,0.40375198752036523,2,0.5962480124796348
mtbench_127_turn1_vicuna-13b-v1.2,0.3985957073799331,0,0.6014042926200669
mtbench_117_turn1_alpaca-13b,0.39275325737287325,0,0.6072467426271267
mtbench_117_turn2_alpaca-13b,0.39275325737287325,0,0.6072467426271267
mtbench_115_turn2_llama-13b,0.39077091626001026,0,0.6092290837399897
