item_id,ambiguity,predicted_class,confidence
mslr_Cochrane_CD001487_SPNXTA,0.26078863406839425,1,0.7392113659316057
mslr_Cochrane_CD002873_8FWF5T,0.26078863406839425,1,0.7392113659316057
mslr_Cochrane_CD008510_JB6Z8F,0.25714086633396405,2,0.742859133666036
mslr_Cochrane_CD006883_VNCH8M,0.25714086633396405,2,0.742859133666036
mslr_Cochrane_CD008493_SPNXTA,0.25714086633396405,2,0.742859133666036
mslr_Cochrane_CD008493_JB6Z8F,0.25714086633396405,2,0.742859133666036
mslr_Cochrane_CD003700_VNCH8M,0.25714086633396405,2,0.742859133666036
mslr_Cochrane_CD003700_AQ85CE,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD003700_JB6Z8F,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD003700_PX7SGV,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD003420_PX7SGV,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD008493_PX7SGV,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD008216_VNCH8M,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD006033_SPNXTA,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD009202_8FWF5T,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD003219_8FWF5T,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD000972_JB6Z8F,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD003700_8FWF5T,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD006771_8FWF5T,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD008493_AQ85CE,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD002873_JB6Z8F,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD002873_AQ85CE,0.1319643157604502,1,0.8680356842395498
mslr_Cochrane_CD002988_PX7SGV,0.054082716011016996,0,0.945917283988983
mslr_Cochrane_CD008493_8FWF5T,0.054082716011016996,0,0.945917283988983
mslr_Cochrane_CD006771_JB6Z8F,0.035112405269825064,2,0.9648875947301749
mslr_Cochrane_CD002873_SPNXTA,0.035112405269825064,2,0.9648875947301749
mslr_Cochrane_CD008288_8FWF5T,0.035112405269825064,2,0.9648875947301749
mslr_Cochrane_CD007979_JB6Z8F,0.012042629569679497,0,0.9879573704303205
mslr_Cochrane_CD004787_PX7SGV,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD002282_SPNXTA,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD009275_PX7SGV,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD002282_PX7SGV,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD002282_8FWF5T,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD002873_VNCH8M,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD002873_PX7SGV,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD007579_JB6Z8F,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD009202_AQ85CE,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD008493_VNCH8M,0.0007863411854875935,2,0.9992136588145124
mslr_Cochrane_CD003700_SPNXTA,0.0007863411854875935,2,0.9992136588145124
