config,repetition,method,mse,kendall_tau,ranking_accuracy,agent_gap_type
gaps_tight,0,mv,0.000922833333333332,0.9999999999999999,1.0,tight
gaps_tight,0,ds,0.0007038333333333318,0.9999999999999999,1.0,tight
gaps_tight,0,pec,0.0009186601223307397,0.9999999999999999,1.0,tight
gaps_tight,1,mv,0.0014748333333333358,0.9999999999999999,1.0,tight
gaps_tight,1,ds,0.0005463333333333343,0.9999999999999999,1.0,tight
gaps_tight,1,pec,0.000946621689624117,0.9999999999999999,1.0,tight
gaps_tight,2,mv,0.0006111666666666678,0.8666666666666666,0.9333333333333333,tight
gaps_tight,2,ds,0.0006271666666666678,0.9999999999999999,1.0,tight
gaps_tight,2,pec,0.0010786003193295663,0.9999999999999999,1.0,tight
gaps_tight,3,mv,0.000614500000000001,0.8666666666666666,0.9333333333333333,tight
gaps_tight,3,ds,0.0004400000000000008,0.9999999999999999,1.0,tight
gaps_tight,3,pec,0.0006383783074571284,0.9999999999999999,1.0,tight
gaps_tight,4,mv,0.0014738333333333329,0.9999999999999999,1.0,tight
gaps_tight,4,ds,0.0006556666666666652,0.9999999999999999,1.0,tight
gaps_tight,4,pec,0.0009943587017469376,0.9999999999999999,1.0,tight
gaps_tight,5,mv,0.0004933333333333341,0.8666666666666666,0.9333333333333333,tight
gaps_tight,5,ds,0.0009158333333333349,0.8666666666666666,0.9333333333333333,tight
gaps_tight,5,pec,0.001309417958456849,0.8666666666666666,0.9333333333333333,tight
gaps_tight,6,mv,0.0006191666666666677,0.9999999999999999,1.0,tight
gaps_tight,6,ds,0.00033816666666666733,0.9999999999999999,1.0,tight
gaps_tight,6,pec,0.0008219699299068933,0.9999999999999999,1.0,tight
gaps_tight,7,mv,0.00034250000000000063,0.8666666666666666,0.9333333333333333,tight
gaps_tight,7,ds,0.0001588333333333336,0.8666666666666666,0.9333333333333333,tight
gaps_tight,7,pec,0.0003997074752438605,0.8666666666666666,0.9333333333333333,tight
gaps_tight,8,mv,0.0007204999999999994,0.7333333333333333,0.8666666666666667,tight
gaps_tight,8,ds,0.0009585,0.9999999999999999,1.0,tight
gaps_tight,8,pec,0.0013654088748381724,0.9999999999999999,1.0,tight
gaps_tight,9,mv,0.0005033333333333337,0.8666666666666666,0.9333333333333333,tight
gaps_tight,9,ds,0.0005551666666666677,0.9999999999999999,1.0,tight
gaps_tight,9,pec,0.0008018900102341294,0.9999999999999999,1.0,tight
gaps_tight,10,mv,0.0007870000000000016,0.9999999999999999,1.0,tight
