config,method,labels_per_item,mse_mean,mse_std,mse_se,kendall_tau_mean,kendall_tau_std,kendall_tau_se,ranking_accuracy_mean,ranking_accuracy_std,ranking_accuracy_se,stability_mean,stability_std,stability_se
labels_3,mv,3,0.0047808966666666,0.0008652547950941,8.652547950941002e-05,0.984655168994919,0.0417502941363997,0.0041750294136399,0.992,0.0211450020362049,0.0021145002036204,0.9853488452754582,0.0270284683882501,0.002702846838825
labels_3,ds,3,0.0035936416666666,0.001003203968785,0.0001003203968785,0.984,0.0433282048247251,0.0043328204824725,0.9920000000000002,0.0216641024123625,0.0021664102412362,0.9894666666666666,0.0185994026188416,0.0018599402618841
labels_3,pec,3,0.0057057721902226,0.0014410846296925,0.0001441084629692,0.9919999999999998,0.0316649122321011,0.0031664912232101,0.996,0.0158324561160505,0.001583245611605,0.9894666666666666,0.0185994026188416,0.0018599402618841
labels_5,mv,5,0.0026215316666666,0.0004776974761493,4.7769747614933465e-05,0.9959999999999998,0.0227449628123093,0.0022744962812309,0.998,0.0113724814061546,0.0011372481406154,0.9875931013969512,0.0213878701288158,0.0021387870128815
labels_5,ds,5,0.001564795,0.0004047051532048,4.04705153204843e-05,0.9973333333333332,0.0186666666666666,0.0018666666666666,0.9986666666666668,0.0093333333333333,0.0009333333333333,0.9907999999999998,0.0195682282170755,0.0019568228217075
labels_5,pec,5,0.0023553347080818,0.0005126491108525,5.126491108525136e-05,0.9973333333333332,0.0186666666666666,0.0018666666666666,0.9986666666666668,0.0093333333333333,0.0009333333333333,0.9907999999999998,0.0195682282170755,0.0019568228217075
labels_7,mv,7,0.0017274066666666,0.0003912381246476,3.912381246476085e-05,0.996,0.0227449628123093,0.0022744962812309,0.998,0.0113724814061546,0.0011372481406154,0.9871275844974596,0.0187175667864792,0.0018717566786479
labels_7,ds,7,0.0010222883333333,0.0002927538384367,2.9275383843673917e-05,0.9933333333333332,0.0290593262902711,0.0029059326290271,0.9966666666666668,0.0145296631451355,0.0014529663145135,0.9916,0.0168290753690681,0.0016829075369068
labels_7,pec,7,0.0014383436977417,0.0003231645856254,3.231645856254962e-05,0.9946666666666666,0.0261278905896872,0.0026127890589687,0.9973333333333336,0.0130639452948436,0.0013063945294843,0.9916,0.0168290753690681,0.0016829075369068
labels_9,mv,9,0.00109265,0.0002815234404094,2.815234404094976e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.9874959758148883,0.0206631970608039,0.0020663197060803
labels_9,ds,9,0.000702305,0.0002011098263456,2.0110982634565075e-05,0.996994251164126,0.0189213821175572,0.0018921382117557,0.9983333333333334,0.0098601329718326,0.0009860132971832,0.9921333333333332,0.0176982108323599,0.0017698210832359
labels_9,pec,9,0.0009554224217932,0.0002267080842418,2.2670808424180874e-05,0.9973333333333332,0.0186666666666666,0.0018666666666666,0.9986666666666668,0.0093333333333333,0.0009333333333333,0.9921333333333332,0.0176982108323599,0.0017698210832359
