config,method,lenient_fraction,mse_mean,mse_std,mse_se,kendall_tau_mean,kendall_tau_std,kendall_tau_se,ranking_accuracy_mean,ranking_accuracy_std,ranking_accuracy_se
lenient_00,mv,0.0,0.0017680666666666667,0.0003685816342563894,3.685816342563894e-05,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
lenient_00,ds,0.0,0.0012277433333333337,0.0003419224956201493,3.419224956201493e-05,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
lenient_00,pec,0.0,0.0017667703852621822,0.0004059760300447731,4.059760300447731e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
lenient_10,mv,0.1,0.0018896850000000003,0.0004001626710164253,4.0016267101642525e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
lenient_10,ds,0.1,0.001333821666666667,0.0003657059499219738,3.657059499219738e-05,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
lenient_10,pec,0.1,0.0019702179015741554,0.00044825575600745715,4.4825575600745715e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
lenient_20,mv,0.2,0.0023295983333333336,0.00043899338776025104,4.3899338776025104e-05,0.9969942511641261,0.01892138211755723,0.0018921382117557228,0.9983333333333333,0.009860132971832691,0.000986013297183269
lenient_20,ds,0.2,0.001505903333333333,0.0003999103164599669,3.999103164599669e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
lenient_20,pec,0.2,0.0022323675919285117,0.0005161807698094618,5.161807698094618e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
lenient_30,mv,0.3,0.0031435600000000014,0.0005671353686731238,5.6713536867312376e-05,0.993333333333333,0.029059326290271147,0.0029059326290271146,0.9966666666666668,0.014529663145135577,0.0014529663145135578
lenient_30,ds,0.3,0.0016490149999999998,0.000447350529410538,4.47350529410538e-05,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
lenient_30,pec,0.3,0.002513132038330455,0.0005853258680389502,5.853258680389502e-05,0.9946666666666666,0.026127890589687227,0.0026127890589687226,0.9973333333333333,0.013063945294843613,0.0013063945294843613
lenient_40,mv,0.4,0.004444100000000001,0.0007186546033310363,7.186546033310363e-05,0.9906666666666665,0.03401960219246153,0.003401960219246153,0.9953333333333333,0.017009801096230764,0.0017009801096230764
lenient_40,ds,0.4,0.0018693299999999993,0.0005468552956983527,5.468552956983527e-05,0.9946666666666666,0.026127890589687227,0.0026127890589687226,0.9973333333333333,0.013063945294843613,0.0013063945294843613
lenient_40,pec,0.4,0.002855425766654744,0.0006791798750884252,6.791798750884253e-05,0.9946666666666666,0.026127890589687227,0.0026127890589687226,0.9973333333333333,0.013063945294843613,0.0013063945294843613
