config,repetition,method,mse,kendall_tau,ranking_accuracy,strict_fraction
strict_00,0,mv,0.0019305,0.9999999999999999,1.0,0.0
strict_00,0,ds,0.001379,0.9999999999999999,1.0,0.0
strict_00,0,pec,0.0019029998369863403,0.9999999999999999,1.0,0.0
strict_00,1,mv,0.0033101666666666674,0.9999999999999999,1.0,0.0
strict_00,1,ds,0.0021008333333333317,0.9999999999999999,1.0,0.0
strict_00,1,pec,0.002864832217057779,0.9999999999999999,1.0,0.0
strict_00,2,mv,0.0018358333333333351,0.9999999999999999,1.0,0.0
strict_00,2,ds,0.0016971666666666671,0.9999999999999999,1.0,0.0
strict_00,2,pec,0.002407267706638024,0.9999999999999999,1.0,0.0
strict_00,3,mv,0.0023704999999999993,0.9999999999999999,1.0,0.0
strict_00,3,ds,0.001562666666666667,0.9999999999999999,1.0,0.0
strict_00,3,pec,0.0017062330029389203,0.9999999999999999,1.0,0.0
strict_00,4,mv,0.0026990000000000004,0.9999999999999999,1.0,0.0
strict_00,4,ds,0.0016610000000000008,0.9999999999999999,1.0,0.0
strict_00,4,pec,0.0025632868816828757,0.9999999999999999,1.0,0.0
strict_00,5,mv,0.0014546666666666668,0.9999999999999999,1.0,0.0
strict_00,5,ds,0.0012476666666666669,0.9999999999999999,1.0,0.0
strict_00,5,pec,0.001753306001209077,0.9999999999999999,1.0,0.0
strict_00,6,mv,0.0015586666666666672,0.9999999999999999,1.0,0.0
strict_00,6,ds,0.0015100000000000003,0.9999999999999999,1.0,0.0
strict_00,6,pec,0.0019196018789242495,0.9999999999999999,1.0,0.0
strict_00,7,mv,0.001086833333333335,0.9999999999999999,1.0,0.0
strict_00,7,ds,0.0007529999999999997,0.9999999999999999,1.0,0.0
strict_00,7,pec,0.0011005550008221442,0.9999999999999999,1.0,0.0
strict_00,8,mv,0.0016728333333333328,0.9999999999999999,1.0,0.0
strict_00,8,ds,0.0017598333333333344,0.9999999999999999,1.0,0.0
strict_00,8,pec,0.002231883377228221,0.9999999999999999,1.0,0.0
strict_00,9,mv,0.0017258333333333342,0.9999999999999999,1.0,0.0
strict_00,9,ds,0.0013161666666666688,0.9999999999999999,1.0,0.0
strict_00,9,pec,0.0017778197037535796,0.9999999999999999,1.0,0.0
strict_00,10,mv,0.0020966666666666655,0.9999999999999999,1.0,0.0
strict_00,10,ds,0.0017603333333333332,0.9999999999999999,1.0,0.0
strict_00,10,pec,0.0020930914277844694,0.9999999999999999,1.0,0.0
strict_00,11,mv,0.0021924999999999987,0.9999999999999999,1.0,0.0
strict_00,11,ds,0.0015558333333333307,0.9999999999999999,1.0,0.0
strict_00,11,pec,0.001991332432250165,0.9999999999999999,1.0,0.0
strict_00,12,mv,0.002274666666666665,0.9999999999999999,1.0,0.0
strict_00,12,ds,0.0009885000000000009,0.9999999999999999,1.0,0.0
strict_00,12,pec,0.0013488442158785547,0.9999999999999999,1.0,0.0
strict_00,13,mv,0.0021751666666666673,0.9999999999999999,1.0,0.0
strict_00,13,ds,0.001531666666666665,0.9999999999999999,1.0,0.0
strict_00,13,pec,0.002164700370740615,0.9999999999999999,1.0,0.0
strict_00,14,mv,0.0013426666666666656,0.9999999999999999,1.0,0.0
strict_00,14,ds,0.001795833333333334,0.9999999999999999,1.0,0.0
strict_00,14,pec,0.0020293166920647564,0.9999999999999999,1.0,0.0
strict_00,15,mv,0.002015000000000001,0.9999999999999999,1.0,0.0
strict_00,15,ds,0.0010415000000000008,0.9999999999999999,1.0,0.0
strict_00,15,pec,0.0017230530823542885,0.9999999999999999,1.0,0.0
strict_00,16,mv,0.001556666666666668,0.9999999999999999,1.0,0.0
strict_00,16,ds,0.001505666666666665,0.9999999999999999,1.0,0.0
strict_00,16,pec,0.0020805205012886904,0.9999999999999999,1.0,0.0
strict_00,17,mv,0.001736833333333335,0.9999999999999999,1.0,0.0
strict_00,17,ds,0.0007493333333333341,0.9999999999999999,1.0,0.0
strict_00,17,pec,0.001289028961367581,0.9999999999999999,1.0,0.0
strict_00,18,mv,0.002012833333333333,0.9999999999999999,1.0,0.0
strict_00,18,ds,0.001098,0.9999999999999999,1.0,0.0
strict_00,18,pec,0.0014299425014172682,0.9999999999999999,1.0,0.0
strict_00,19,mv,0.0021743333333333332,0.9999999999999999,1.0,0.0
strict_00,19,ds,0.00181533333333333,0.9999999999999999,1.0,0.0
strict_00,19,pec,0.0021542745265572517,0.9999999999999999,1.0,0.0
strict_00,20,mv,0.002035666666666667,0.9999999999999999,1.0,0.0
strict_00,20,ds,0.0005846666666666656,0.9999999999999999,1.0,0.0
strict_00,20,pec,0.0008328970430153069,0.9999999999999999,1.0,0.0
strict_00,21,mv,0.0015966666666666675,0.9999999999999999,1.0,0.0
strict_00,21,ds,0.0008000000000000013,0.9999999999999999,1.0,0.0
strict_00,21,pec,0.0013488645418993298,0.9999999999999999,1.0,0.0
strict_00,22,mv,0.0014768333333333343,0.9999999999999999,1.0,0.0
strict_00,22,ds,0.0008013333333333336,0.9999999999999999,1.0,0.0
strict_00,22,pec,0.001320896521055606,0.9999999999999999,1.0,0.0
strict_00,23,mv,0.0014121666666666681,0.9999999999999999,1.0,0.0
strict_00,23,ds,0.0010333333333333338,0.9999999999999999,1.0,0.0
strict_00,23,pec,0.0016029086257007975,0.9999999999999999,1.0,0.0
strict_00,24,mv,0.002300833333333334,0.9999999999999999,1.0,0.0
strict_00,24,ds,0.0011878333333333333,0.9999999999999999,1.0,0.0
strict_00,24,pec,0.0014534756380215515,0.9999999999999999,1.0,0.0
strict_00,25,mv,0.002093000000000001,0.9999999999999999,1.0,0.0
strict_00,25,ds,0.001267666666666668,0.9660917830792959,0.9666666666666667,0.0
strict_00,25,pec,0.0016949960954129606,0.9999999999999999,1.0,0.0
strict_00,26,mv,0.0014138333333333346,0.9999999999999999,1.0,0.0
strict_00,26,ds,0.001715333333333332,0.9999999999999999,1.0,0.0
strict_00,26,pec,0.0019523027186186019,0.9999999999999999,1.0,0.0
strict_00,27,mv,0.002034333333333334,0.9999999999999999,1.0,0.0
strict_00,27,ds,0.002020500000000001,0.9999999999999999,1.0,0.0
strict_00,27,pec,0.002672615417053617,0.9999999999999999,1.0,0.0
strict_00,28,mv,0.0023964999999999998,0.9999999999999999,1.0,0.0
strict_00,28,ds,0.0016513333333333328,0.9999999999999999,1.0,0.0
strict_00,28,pec,0.001748588402799206,0.9999999999999999,1.0,0.0
strict_00,29,mv,0.0014958333333333334,0.9999999999999999,1.0,0.0
strict_00,29,ds,0.0010011666666666678,0.9999999999999999,1.0,0.0
strict_00,29,pec,0.0015481832490720643,0.9999999999999999,1.0,0.0
strict_00,30,mv,0.002386166666666669,0.8666666666666666,0.9333333333333333,0.0
strict_00,30,ds,0.0013245000000000025,0.8666666666666666,0.9333333333333333,0.0
strict_00,30,pec,0.0019188167051638779,0.8666666666666666,0.9333333333333333,0.0
strict_00,31,mv,0.002505833333333333,0.9999999999999999,1.0,0.0
strict_00,31,ds,0.001701,0.9999999999999999,1.0,0.0
strict_00,31,pec,0.0019391400633444122,0.9999999999999999,1.0,0.0
strict_00,32,mv,0.0021969999999999993,0.9999999999999999,1.0,0.0
strict_00,32,ds,0.0013393333333333321,0.9999999999999999,1.0,0.0
strict_00,32,pec,0.0015337967936203672,0.9999999999999999,1.0,0.0
strict_00,33,mv,0.001799833333333332,0.9999999999999999,1.0,0.0
strict_00,33,ds,0.0019483333333333312,0.9999999999999999,1.0,0.0
strict_00,33,pec,0.00232754034509041,0.9999999999999999,1.0,0.0
strict_00,34,mv,0.0019910000000000023,0.9999999999999999,1.0,0.0
strict_00,34,ds,0.001508,0.9999999999999999,1.0,0.0
strict_00,34,pec,0.002146470419397025,0.9999999999999999,1.0,0.0
strict_00,35,mv,0.001979333333333335,0.9999999999999999,1.0,0.0
strict_00,35,ds,0.0011078333333333346,0.9999999999999999,1.0,0.0
strict_00,35,pec,0.0013703463852616025,0.9999999999999999,1.0,0.0
strict_00,36,mv,0.0022748333333333353,0.9999999999999999,1.0,0.0
strict_00,36,ds,0.0015196666666666672,0.9999999999999999,1.0,0.0
strict_00,36,pec,0.0021015780755787644,0.9999999999999999,1.0,0.0
strict_00,37,mv,0.0015238333333333352,0.9999999999999999,1.0,0.0
strict_00,37,ds,0.001244333333333334,0.9999999999999999,1.0,0.0
strict_00,37,pec,0.001850302944124919,0.9999999999999999,1.0,0.0
strict_00,38,mv,0.001645333333333333,0.9999999999999999,1.0,0.0
strict_00,38,ds,0.0013753333333333334,0.9999999999999999,1.0,0.0
strict_00,38,pec,0.0017725413933390463,0.9999999999999999,1.0,0.0
strict_00,39,mv,0.0016899999999999981,0.9999999999999999,1.0,0.0
strict_00,39,ds,0.0006969999999999992,0.9999999999999999,1.0,0.0
strict_00,39,pec,0.0013097492891534477,0.9999999999999999,1.0,0.0
strict_00,40,mv,0.0019633333333333343,0.9999999999999999,1.0,0.0
strict_00,40,ds,0.0009128333333333349,0.9999999999999999,1.0,0.0
strict_00,40,pec,0.001157897619468815,0.9999999999999999,1.0,0.0
strict_00,41,mv,0.0022070000000000024,0.9999999999999999,1.0,0.0
strict_00,41,ds,0.0020500000000000006,0.9999999999999999,1.0,0.0
strict_00,41,pec,0.0029447941347548203,0.9999999999999999,1.0,0.0
strict_00,42,mv,0.0019948333333333333,0.9999999999999999,1.0,0.0
